   entry state, s03
    exit state, s92
default output, o31

              , next state, ,,, output
 current state, e11, e22, e98,   , e11, e22, e98
s03           , s47, s48, s47,   ,o31, o31, o31
s09           , s47, s36, s26,   ,o26, o26, o31
s17           , s03, s36, s61,   ,o26, o26, o31
s20           , s61, s84, s84,   ,o31, o26, o26
s26           , s09, s88, s03,   ,o31, o31, o26
s36           , s52, s03, s36,   ,o31, o26, o31
s42           , s42, s92, s84,   ,o26, o26, o31
s47           , s61, s88, s52,   ,o31, o31, o26
s48           , s26, s26, s84,   ,o31, o26, o26
s51           , s03, s52, s51,   ,o26, o26, o31
s52           , s47, s36, s26,   ,o26, o26, o26
s61           , s42, s47, s36,   ,o26, o26, o26
s84           , s51, s92, s03,   ,o31, o26, o26
s88           , s61, s47, s09,   ,o31, o31, o26
s92           , s51, s17, s20,   ,o31, o31, o31
